y,phi_A,phi_B
5.506101220244052,0.9991699884427107,0.9907923450406305
5.606121224244852,0.9992794284473713,0.9915026081485655
5.706141228245652,0.9993744429096703,0.9921579947256594
5.806161232246449,0.9994569321816674,0.9927627488250967
5.9061812362472494,0.9995285465461619,0.9933207872670669
6.00620124024805,0.9995907190560277,0.9938357244390771
6.10622124424885,0.9996446940777084,0.9943108953288278
6.2062412482496505,0.9996915520967159,0.9947493768906767
6.306261252250451,0.999732231271553,0.9951540078463149
6.406281256251251,0.9997675461599533,0.9955274070184933
6.506301260252052,0.999798203986646,0.9958719902938475
6.606321264252852,0.999824818774079,0.9961899863073498
6.706341268253652,0.9998479236158424,0.9964834509368765
6.806361272254453,0.9998679813361518,0.9967542806920346
6.906381276255253,0.9998853937470614,0.9970042250768434
7.00640128025605,0.9999005096874454,0.9972348980012512
7.106421284256854,0.9999136320037462,0.9974477883118923
7.2064412882576505,0.9999250236115481,0.997644269507956
7.306461292258454,0.9999349127588252,0.9978256087036774
7.406481296259251,0.999943497595866,0.997992974894734
7.506501300260055,0.9999509501431039,0.9981474465818093
7.606521304260852,0.9999574197360996,0.9982900188007708
7.706541308261656,0.9999630360165154,0.9984216096052849
7.806561312262453,0.9999679115288679,0.9985430660443112
7.9065813162632566,0.9999721439749873,0.9986551696737329
8.006601320264053,0.9999758181712768,0.9987586416383982
8.106621324264857,0.9999790077479311,0.9988541473580971
8.206641328265654,0.9999817766241226,0.9989423008483999
8.306661332266458,0.9999841802886781,0.9990236687049079
8.406681336267255,0.9999862669118873,0.9990987737772397
8.506701340268059,0.9999880783107024,0.9991680985570345
8.606721344268855,0.9999896507866575,0.9992320883023456
8.706741348269652,0.9999910158532882,0.9992911539190512
8.806761352270456,0.9999922008676215,0.9993456746182924
8.906781356271253,0.9999932295783834,0.9993960003674477
9.006801360272057,0.9999941226019086,0.9994424541507853
9.106821364272854,0.9999948978352831,0.9994853340546603
9.206841368273658,0.9999955708149997,0.9995249151909537
9.306861372274454,0.9999961550283095,0.9995614514713799
9.406881376275258,0.9999966621835101,0.9995951772442881
9.506901380276055,0.9999971024445837,0.9996263088046731
9.606921384276859,0.9999974846348886,0.9996550457872723
9.706941388277656,0.9999978164139852,0.9996815724518452
9.80696139227846,0.9999981044311388,0.9997060588690239
9.906981396279257,0.9999983544585764,0.9997286620144592
10.00700140028006,0.9999985715071673,0.9997495267783891
10.107021404280857,0.9999987599268456,0.9997687868971944
10.207041408281661,0.9999989234937874,0.9997865658129889
10.307061412282458,0.9999990654860891,0.9998029774668379
10.407081416283255,0.9999991887494644,0.9998181270307336
10.507101420284059,0.9999992957542756,0.9998321115830783
10.607121424284855,0.9999993886450423,0.9998450207320531
10.70714142828566,0.9999994692834205,0.9998569371908982
10.807161432286456,0.9999995392855122,0.9998679373088265
10.90718143628726,0.9999996000542539,0.9998780915610039
11.007201440288057,0.999999652807534,0.9998874650007572
11.10722144428886,0.9999996986026,0.9998961176769292
11.207241448289658,0.9999997383572474,0.9999041050190732
11.307261452290462,0.9999997728682138,0.9999114781929679
11.407281456291258,0.9999998028271463,0.999918284428748
11.507301460292062,0.999999828834463,0.9999245673237589
11.607321464292859,0.9999998514113863,0.9999303671220878
11.707341468293663,0.9999998710103886,0.999935720972571
11.80736147229446,0.999999888024261,0.9999406631669346
11.907381476295264,0.9999999027939849,0.9999452253596038
12.00740148029606,0.999999915615566,0.999949436770588
12.107421484296864,0.9999999267459664,0.9999533243727533
12.207441488297661,0.9999999364082547,0.9999569130646792
12.307461492298458,0.9999999447960765,0.9999602258302127
12.407481496299262,0.9999999520775352,0.9999632838857446
12.507501500300059,0.9999999583985616,0.9999661068161533
12.607521504300863,0.9999999638858376,0.999968712700289
12.70754150830166,0.9999999686493357,0.999971118226801
12.807561512302463,0.9999999727845231,0.9999733388010561
12.90758151630326,0.9999999763742748,0.9999753886438336
13.007601520304064,0.9999999794905342,0.999977280882423
13.10762152430486,0.9999999821957556,0.9999790276347169
13.207641528305665,0.9999999845441552,0.9999806400868357
13.307661532306462,0.9999999865827983,0.9999821285647814
13.407681536307265,0.9999999883525421,0.999983502600579
13.507701540308062,0.9999999898888547,0.9999847709933316
13.607721544308866,0.9999999912225261,0.9999859418655813
13.707741548309663,0.9999999923802847,0.9999870227153315
13.807761552310467,0.9999999933853336,0.9999880204640715
13.907781556311264,0.9999999942578155,0.9999889415011076
14.007801560312068,0.999999995015216,0.9999897917244841
14.107821564312864,0.9999999956727146,0.999990576578756
14.207841568313661,0.9999999962434883,0.9999913010898616
14.307861572314465,0.9999999967389763,0.9999919698973078
14.407881576315262,0.999999997169109,0.9999925872838831
14.507901580316066,0.9999999975425067,0.9999931572030879
14.607921584316863,0.9999999978666528,0.9999936833044522
14.707941588317667,0.9999999981480436,0.9999941689569052
14.807961592318463,0.9999999983923188,0.9999946172703537
14.907981596319267,0.9999999986043737,0.9999950311155968
15.008001600320064,0.9999999987884584,0.9999954131427108
15.108021604320868,0.9999999989482621,0.9999957657980187
15.208041608321665,0.9999999990869874,0.9999960913397556
15.308061612322469,0.9999999992074148,0.999996391852533
15.408081616323265,0.9999999993119577,0.9999966692606868
15.50810162032407,0.9999999994027112,0.9999969253406001
15.608121624324866,0.9999999994814943,0.999997161732079
15.70814162832567,0.9999999995498857,0.9999973799488538
15.808161632326467,0.9999999996092563,0.9999975813882717
15.90818163632727,0.9999999996607959,0.999997767340246
16.008201640328068,0.9999999997055372,0.9999979389955145
16.108221644328864,0.9999999997443771,0.999998097453265
16.20824164832967,0.9999999997780942,0.9999982437281751
16.308261652330465,0.9999999998073638,0.9999983787569104
16.40828165633127,0.9999999998327727,0.9999985034041224
16.508301660332066,0.9999999998548301,0.9999986184679831
16.60832166433287,0.9999999998739783,0.9999987246852978
16.708341668333667,0.9999999998906006,0.9999988227362249
16.80836167233447,0.9999999999050305,0.9999989132486269
16.908381676335267,0.9999999999175571,0.999998996802094
17.00840168033607,0.9999999999284315,0.9999990739316578
17.108421684336868,0.9999999999378714,0.9999991451312127
17.208441688337672,0.9999999999460663,0.9999992108566789
17.30846169233847,0.9999999999531801,0.9999992715289251
17.408481696339273,0.9999999999593557,0.9999993275364627
17.50850170034007,0.9999999999647168,0.9999993792379328
17.608521704340873,0.9999999999693706,0.9999994269644032
17.70854170834167,0.9999999999734107,0.9999994710214856
17.808561712342474,0.9999999999769179,0.9999995116912959
17.90858171634327,0.9999999999799624,0.9999995492342596
18.008601720344068,0.9999999999826054,0.9999995838907804
18.10862172434487,0.9999999999848997,0.9999996158827786
18.20864172834567,0.9999999999868915,0.9999996454151134
18.308661732346472,0.9999999999886205,0.9999996726768936
18.40868173634727,0.9999999999901215,0.9999996978426895
18.508701740348073,0.9999999999914244,0.9999997210736489
18.60872174434887,0.9999999999925556,0.9999997425185286
18.708741748349674,0.9999999999935375,0.9999997623146482
18.80876175235047,0.9999999999943899,0.9999997805887695
18.908781756351274,0.9999999999951299,0.9999997974579103
19.00880176035207,0.9999999999957723,0.9999998130300902
19.108821764352875,0.9999999999963299,0.9999998274050239
19.208841768353672,0.999999999996814,0.9999998406747606
19.308861772354476,0.9999999999972342,0.9999998529242718
19.408881776355273,0.999999999997599,0.999999864231997
19.508901780356076,0.9999999999979158,0.9999998746703443
19.608921784356873,0.9999999999981907,0.9999998843061553
19.70894178835767,0.9999999999984293,0.9999998932011326
19.808961792358474,0.9999999999986364,0.9999999014122353
19.90898179635927,0.9999999999988163,0.9999999089920434
20.009001800360075,0.9999999999989725,0.9999999159890953
20.10902180436087,0.9999999999991079,0.9999999224481981
20.209041808361675,0.9999999999992256,0.9999999284107142
20.309061812362472,0.9999999999993278,0.9999999339148276
20.409081816363276,0.9999999999994165,0.9999999389957882
20.509101820364073,0.9999999999994934,0.9999999436861368
20.609121824364877,0.9999999999995602,0.9999999480159144
20.709141828365674,0.9999999999996182,0.9999999520128553
20.809161832366478,0.9999999999996686,0.9999999557025648
20.909181836367274,0.9999999999997123,0.9999999591086836
21.00920184036808,0.9999999999997502,0.9999999622530388
21.109221844368875,0.9999999999997832,0.9999999651557866
21.20924184836968,0.9999999999998118,0.999999967835539
21.309261852370476,0.9999999999998366,0.9999999703094852
21.40928185637128,0.9999999999998581,0.9999999725935037
21.509301860372076,0.9999999999998769,0.9999999747022625
21.609321864372873,0.9999999999998931,0.9999999766493143
21.709341868373677,0.9999999999999072,0.9999999784471857
21.809361872374474,0.9999999999999194,0.9999999801074555
21.909381876375278,0.9999999999999301,0.9999999816408329
22.009401880376075,0.9999999999999393,0.9999999830572227
22.10942188437688,0.9999999999999473,0.9999999843657925
22.209441888377675,0.9999999999999543,0.9999999855750306
22.30946189237848,0.9999999999999603,0.9999999866927988
22.409481896379276,0.9999999999999655,0.999999987726384
22.50950190038008,0.99999999999997,0.9999999886825438
22.609521904380877,0.999999999999974,0.9999999895675499
22.70954190838168,0.9999999999999775,0.9999999903872225
22.809561912382478,0.9999999999999805,0.9999999911469719
22.90958191638328,0.999999999999983,0.9999999918518248
23.00960192038408,0.9999999999999852,0.9999999925064597
23.109621924384882,0.9999999999999872,0.9999999931152262
23.20964192838568,0.9999999999999889,0.9999999936821746
23.309661932386483,0.9999999999999903,0.9999999942110778
23.40968193638728,0.9999999999999917,0.9999999947054492
23.509701940388076,0.9999999999999928,0.9999999951685624
23.60972194438888,0.9999999999999937,0.9999999956034665
23.709741948389677,0.9999999999999946,0.999999996013001
23.80976195239048,0.9999999999999952,0.9999999963998142
23.909781956391278,0.9999999999999959,0.999999996766374
24.009801960392082,0.9999999999999964,0.9999999971149816
24.10982196439288,0.9999999999999969,0.9999999974477848
24.209841968393683,0.9999999999999973,0.9999999977667906
24.30986197239448,0.9999999999999977,0.999999998073876
24.409881976395283,0.999999999999998,0.9999999983708053
24.50990198039608,0.9999999999999982,0.9999999986592414
24.609921984396884,0.9999999999999984,0.999999998940757
24.70994198839768,0.9999999999999987,0.9999999992168521
24.809961992398485,0.9999999999999989,0.999999999488967
24.90998199639928,0.999999999999999,0.9999999997584995
